N_experiment,N_indv,N_pasos,p_repro,p_muta,n_surv,I0,cross_mode,muta_mode,select_mode,best_adapta,JaccI,JaccP,SorsP,indv,sigma,gamma,beta,f
1,10,100,0.95,0.4,4,1,bt_par,m4_point,st_lib,5.254194492081301e-10,0.9292540021706688,0.8774525166191838,0.9285211106968563,,0.09448818897637795,0.8740157480314961,0.84251968503937,0.7952755905511811
2,10,100,0.95,0.4,4,1,wt_par,m4_point,st_lib,4.832349922061816e-10,0.9039778590862182,0.8450378197068533,0.9078943130974342,,0.7244094488188977,0.5118110236220472,0.8740157480314961,0.7480314960629921
