iteration,best_adapta,JaccarI,JaccarP,SoresP,execution
5,1.59573848564842e-10,0.4766904945568516,0.4601319859859591,0.6169391312138878,0
10,1.6203898324977983e-10,0.5322153422772617,0.46272703818369454,0.61543477298733,0
15,4.152583088841339e-10,0.5734674376573241,0.460932083625582,0.6178047475294981,0
20,4.19234238120576e-10,0.47097722538899006,0.4904910973099828,0.6411234891304858,0
25,4.19234238120576e-10,0.7309124527003784,0.6653580385520531,0.7896356375776664,0
30,4.19234238120576e-10,0.8951525054466232,0.8324733402132787,0.9037037037037035,0
35,4.19234238120576e-10,0.9052287581699345,0.8406318082788673,0.9077655677655678,0
40,4.19234238120576e-10,0.9444444444444444,0.9027777777777778,0.9419943019943013,0
45,4.19234238120576e-10,0.8995456369682375,0.8499385582693118,0.9156994252029037,0
50,4.19234238120576e-10,0.8539731682146543,0.7733969504867342,0.8595704948646126,0
55,4.19234238120576e-10,0.8470072239422084,0.7699460115430188,0.8621118076136,0
60,4.19234238120576e-10,0.959967320261438,0.9316085693536675,0.9620549581839907,0
65,4.19234238120576e-10,0.902046783625731,0.8340510366826155,0.8993565203859324,0
70,4.19234238120576e-10,0.9243206054351565,0.8695598473307458,0.9251416122004359,0
75,4.19234238120576e-10,0.9477124183006536,0.9069831441348473,0.9466666666666669,0
80,4.19234238120576e-10,0.884787199480182,0.8112232378331452,0.8871191333610727,0
85,4.19234238120576e-10,0.8664488017429194,0.7768642739746974,0.8622566427605847,0
90,4.200492903370432e-10,0.8791635952626664,0.8650773993808046,0.9222631660737365,0
95,4.200492903370432e-10,0.8430477746654217,0.7526483356875516,0.848567371325992,0
100,4.200492903370432e-10,0.8710870313037495,0.8026799433223584,0.8826622224802297,0
5,5.029069608872746e-10,0.5300956639965927,0.40736533475697556,0.5546935694414828,1
10,5.029069608872746e-10,0.7516406757634828,0.631241570702355,0.7642435695399349,1
15,5.029069608872746e-10,0.8798111837327522,0.8017810321009498,0.8811887694145758,1
20,5.029069608872746e-10,1.0,1.0,1.0,1
25,5.029069608872746e-10,0.932716049382716,0.8807050032488631,0.931723646723647,1
30,5.029069608872746e-10,0.8811274509803921,0.8015532431296108,0.8789279477989153,1
35,5.442086296024632e-10,0.8338573706994761,0.7594834179578651,0.8576966790614878,1
40,5.442086296024632e-10,0.9575757575757575,0.9260606060606063,0.9589603638726442,1
45,5.442086296024632e-10,0.9353577179664136,0.887876696572349,0.9326379010589537,1
50,5.442086296024632e-10,0.8677780309359256,0.7807266134154008,0.8720110972515365,1
55,5.4642069407532e-10,0.8888888888888888,0.8686605402394875,0.9264277484710917,1
60,5.4642069407532e-10,0.8524959742351047,0.7703063763933331,0.8646335123367013,1
65,5.4642069407532e-10,0.8948621553884711,0.8226066850628259,0.8962654579590064,1
70,5.4642069407532e-10,0.9488304093567252,0.9099415204678364,0.9486702207764821,1
75,5.4642069407532e-10,0.9495962127541075,0.9098301308827624,0.9495221086552355,1
80,5.4642069407532e-10,0.8944178628389154,0.8254332083016966,0.8996006394212057,1
85,5.4642069407532e-10,0.8742435799644038,0.7900341433293379,0.8787945025199927,1
90,5.4642069407532e-10,0.8995683653578391,0.8296643122958913,0.9024097110861814,1
95,5.4642069407532e-10,0.8431734254388716,0.7445579024755227,0.84312813233275,1
100,5.4642069407532e-10,0.9368686868686869,0.8873956960913484,0.9331264037146387,1
