iteration,best_adapta,JaccarI,JaccarP,SoresP,execution
5,4.1118017346771065e-10,0.3865473727538649,0.37224450978735363,0.5329041187971416,1
10,4.631797063576138e-10,0.4527173648678983,0.3841398694840318,0.5452279104922113,1
15,5.116688749665838e-10,0.42330082121909407,0.4974615753082979,0.6512162712384831,1
20,5.317299357073395e-10,0.4101986921871119,0.49183290174027583,0.6488330861891703,1
25,5.317299357073395e-10,0.5618221397073417,0.46992365156493804,0.6289604265007794,1
30,5.536706080499919e-10,0.5944699828983165,0.5145315469959707,0.6687913029336098,1
35,5.537462411074095e-10,0.5990285889694839,0.5103759419807613,0.6660508403520073,1
40,5.537462411074095e-10,0.6288318235931398,0.5282482641804698,0.6818312151618754,1
45,5.626420378640025e-10,0.6250521258963808,0.4814289821892617,0.6394058531174945,1
50,5.626420378640025e-10,0.6648526517849033,0.5147527729735828,0.6660716466928553,1
55,5.626420378640025e-10,0.6676851479119006,0.5110761578312955,0.6638526051738085,1
60,5.626420378640025e-10,0.6839412170783089,0.5312561856415203,0.681084417843071,1
65,5.626420378640025e-10,0.6912807292382218,0.5514146131222621,0.7009496951084451,1
70,5.626420378640025e-10,0.6558150148064161,0.5064909932125782,0.6614594888331747,1
75,5.721165378603771e-10,0.5063131495937822,0.5375371651067636,0.6867281421450927,1
80,5.81512925820645e-10,0.6827664627862259,0.6055237004304113,0.7470230524682622,1
85,5.851467464021272e-10,0.7324775444143033,0.5919377960412304,0.7353904055361994,1
90,5.887559930454428e-10,0.7045238204537143,0.5633910153654961,0.7108420214554716,1
95,5.887559930454428e-10,0.7159826763779334,0.5727902671760224,0.7177415749169201,1
100,5.887559930454428e-10,0.7215211917885104,0.5730774407854067,0.7192974103274744,1
105,5.887559930454428e-10,0.7406822827220165,0.6007521077519773,0.7422059645484645,1
110,5.887559930454428e-10,0.6946616451297125,0.5483003290261631,0.6966179575681812,1
115,5.887559930454428e-10,0.6959051919734259,0.5499297730488504,0.6987687685795002,1
120,5.887559930454428e-10,0.6986484169737758,0.5625258893369881,0.7101543023097718,1
125,5.941403688552361e-10,0.5736477059915408,0.5765939548014946,0.7244356578480545,1
130,5.941403688552361e-10,0.6296089033583986,0.5433632435730552,0.6952986334291049,1
135,5.941403688552361e-10,0.6574018294375555,0.5314617056670459,0.6855895776659583,1
140,5.941403688552361e-10,0.6857078973852612,0.5412181990839013,0.6909828822215943,1
145,5.941403688552361e-10,0.6742456278711821,0.5249335639332651,0.6775068988179271,1
150,5.941403688552361e-10,0.6653180888179279,0.5139920353300402,0.6672775908775713,1
155,5.941403688552361e-10,0.6842026035478088,0.541938307285341,0.6941443628104336,1
160,5.941403688552361e-10,0.6839173201351827,0.5407206866439267,0.6922223060102203,1
165,5.941403688552361e-10,0.704306913420971,0.561295334076838,0.7091068630743459,1
170,5.941403688552361e-10,0.730660533267485,0.5877996320356793,0.7294681420947805,1
175,5.941403688552361e-10,0.723279300201385,0.5768769337036763,0.7222147463543116,1
180,5.941403688552361e-10,0.7113801599211969,0.5715148606190305,0.7166303515828409,1
185,5.941403688552361e-10,0.7065455003711408,0.5612084417910476,0.7097160093674412,1
190,5.941403688552361e-10,0.7261540375694266,0.5855345694299366,0.7272965033239512,1
195,5.941403688552361e-10,0.6938700104975184,0.5457795995851665,0.6946492647248739,1
200,5.941403688552361e-10,0.6841868410048699,0.5328454288560828,0.679723664099867,1
205,5.941403688552361e-10,0.6231008440139222,0.480095110188712,0.6342142054523462,1
210,5.941403688552361e-10,0.7177591021748541,0.5768554975150002,0.7224312273057928,1
215,5.941403688552361e-10,0.6719709782603154,0.5374130333338268,0.6887863831817216,1
220,5.941403688552361e-10,0.6925471195287071,0.5447583913968398,0.6923793332541565,1
225,5.941403688552361e-10,0.6706806867249973,0.5300696112457506,0.68108929947722,1
230,5.953909296098885e-10,0.6811965885088412,0.5511878435694972,0.7000951462721997,1
235,5.953909296098885e-10,0.7074181174312925,0.5615111648869315,0.7091243451726551,1
240,5.953909296098885e-10,0.7087681026003609,0.5792367551978107,0.7241079902283163,1
245,5.953909296098885e-10,0.7209600554132833,0.5766850498267498,0.720186512363044,1
250,6.139054693986565e-10,0.622388157882229,0.5748355416712599,0.7206828791964298,1
255,6.146320140865208e-10,0.6199082201651371,0.529237460153829,0.6839162221571007,1
260,6.191407521396851e-10,0.7160851291878961,0.5789492272666119,0.7219317126669506,1
265,6.191407521396851e-10,0.7036512918466318,0.5688126473534963,0.7148766562706622,1
270,6.191407521396851e-10,0.7063987122755584,0.5612906333996914,0.7085938140689951,1
275,6.191407521396851e-10,0.7150940967822599,0.5772775304882926,0.7218158441325708,1
280,6.191407521396851e-10,0.7356996210532719,0.5913556159804755,0.7332952401062935,1
285,6.191407521396851e-10,0.7001793303054195,0.5590207642191943,0.7068947267405443,1
290,6.191407521396851e-10,0.7167547180569857,0.5840599361663326,0.7290323931380174,1
295,6.191407521396851e-10,0.6933738274376925,0.5516683301291159,0.7009672598497203,1
300,6.191407521396851e-10,0.703548230579643,0.5727785814474375,0.7192196272502519,1
305,6.215145458368811e-10,0.6913495449068573,0.5717121208217195,0.7187499998749715,1
310,6.215145458368811e-10,0.7379504019622595,0.5929988281330068,0.7362043786148394,1
315,6.215145458368811e-10,0.7189115027850207,0.5744654474421709,0.7189632274508709,1
