iteration,best_adapta,JaccarI,JaccarP,SoresP,execution
5,4.002499899487245e-10,0.45271525116804645,0.426499975752641,0.5862298668159642,1
10,4.0910092776662384e-10,0.43092056928371314,0.5234026048291132,0.6704177142064807,1
15,4.425955392665939e-10,0.47102432734116756,0.5432972316763638,0.6905401848540852,1
20,4.798855917032754e-10,0.7042421648342737,0.5770180438048851,0.7199275584886186,1
25,4.832227649624658e-10,0.6971361605906041,0.5812246324719261,0.7247524312767711,1
30,5.476914185678927e-10,0.6393785056198076,0.5679959286719226,0.7140322457317376,1
35,5.485351031186452e-10,0.7736975333388728,0.6392104137143175,0.7686317862597973,1
40,5.485351031186452e-10,0.8425536091580084,0.7351339278398115,0.8406685231291497,1
45,5.79603218244049e-10,0.7538359962448135,0.6350506083288076,0.7678596763435372,1
50,5.837527558847853e-10,0.5854210596866927,0.4955030928665838,0.6511820552063643,1
55,5.838818257260559e-10,0.7504844740402579,0.6268519071867976,0.761444320843129,1
60,5.838818257260559e-10,0.7587103699395297,0.631802001359676,0.7653080974629187,1
65,5.838818257260559e-10,0.7539011681822123,0.6150873189554776,0.7519615666884859,1
70,5.838818257260559e-10,0.7034259673140261,0.5568888198639748,0.7035397957622732,1
75,5.838818257260559e-10,0.7399959930478773,0.5972890746152267,0.7356256130161781,1
80,5.838818257260559e-10,0.7169413076532584,0.5866444667926698,0.7306404178548436,1
85,5.838818257260559e-10,0.7316076601522359,0.5911523011951363,0.7316817809975606,1
90,5.838818257260559e-10,0.7283245825299717,0.5962904666028644,0.735800383045151,1
95,5.838818257260559e-10,0.7296219697424572,0.5874457682547146,0.7299774615699474,1
100,5.838818257260559e-10,0.768286121248107,0.6391485843272359,0.7678754216782434,1
105,5.838818257260559e-10,0.7408439041461038,0.6260524733835175,0.7610315000296171,1
110,5.838818257260559e-10,0.7904197504732225,0.6662694017834742,0.7913033220647167,1
115,5.838818257260559e-10,0.7891670947555225,0.6592712377320381,0.7823953106611106,1
120,5.838818257260559e-10,0.7687854699667617,0.6569442877163775,0.7864458118451699,1
125,5.838818257260559e-10,0.8041558038779353,0.6883264236890669,0.8087565020848071,1
130,5.838818257260559e-10,0.7648150888635642,0.6416692916059776,0.7757586118413269,1
135,5.838818257260559e-10,0.7674721408668077,0.637279281829051,0.7709054848489607,1
140,5.838818257260559e-10,0.7786540391068014,0.6548052962852455,0.7824136552892239,1
145,2.5976105630538504e-09,0.610112640953238,0.5197827492242674,0.6728380211742987,1
150,5.1306562246957545e-09,0.6735703702761578,0.6037156624669692,0.7409133762745181,1
155,6.4242394178694715e-09,0.7291729647324516,0.6185225892498092,0.7525274644938575,1
160,6.4242394178694715e-09,0.7797209726381396,0.6614100810943232,0.7876634741269768,1
165,6.985931048031374e-09,0.6996902144316375,0.5870759256434043,0.72479475912296,1
