iteration,best_adapta,JaccarI,JaccarP,SoresP,execution
5,4.583100513306517e-10,0.4459035976929793,0.3378028572474854,0.4950463251428189,0
10,5.607520034897047e-10,0.525329924742951,0.4204261350302805,0.5828623331731554,0
15,5.957543333569061e-10,0.5663557425380844,0.43627558438996483,0.597654627266054,0
20,5.972371082890801e-10,0.6235256609662966,0.46897404739712034,0.624351234557516,0
25,5.972371082890801e-10,0.6471996497191695,0.4995162527488497,0.6556300818341129,0
30,5.972371082890801e-10,0.6418700850184929,0.4976043798203402,0.6554099812109033,0
35,5.972371082890801e-10,0.6483068085470256,0.4982547908065105,0.6559216146467354,0
40,5.972371082890801e-10,0.6502827384889297,0.49680446405794415,0.6516962362121727,0
45,5.972371082890801e-10,0.6530240370800149,0.5041408815583129,0.6607139371516882,0
50,5.972371082890801e-10,0.677743794158764,0.5272375373511143,0.6798334241908673,0
55,1.6229679488023388e-09,0.4167053817405793,0.48766771715450075,0.646678446574462,0
60,1.1864557409465142e-08,0.5089994954136601,0.4992674952717905,0.6562977462099259,0
65,1.1864557409465142e-08,0.637817231921655,0.5054393908215838,0.6594312908871631,0
70,1.1864557409465142e-08,0.6709940166202752,0.5295566565722482,0.6812873820672983,0
75,1.1864557409465142e-08,0.7111551648036316,0.5641906261848394,0.711164905136863,0
80,1.1869770794688942e-08,0.557366942793884,0.5409051073223682,0.6903296691454924,0
85,1.1869770794688942e-08,0.6958414236987833,0.5650344783462267,0.7120724747020772,0
90,1.1869770794688942e-08,0.6934611363667483,0.5718324610844282,0.7179454556900633,0
95,1.1869770794688942e-08,0.6435462315186011,0.5082321381023641,0.6635200661872117,0
100,1.1869770794688942e-08,0.6429925166209141,0.5051350768351637,0.6568627285140757,0
105,1.1869770794688942e-08,0.663140062784959,0.5274543611319095,0.6783351596839527,0
110,1.1869770794688942e-08,0.7349427542533163,0.595104393628165,0.7345088111053067,0
115,1.1869770794688942e-08,0.6632731636860251,0.5409695420060749,0.6930993146753991,0
120,1.1869770794688942e-08,0.6259966265512573,0.4888734596766795,0.6443191058852956,0
125,1.1869770794688942e-08,0.674009163169944,0.537756913476695,0.6894378739894188,0
130,1.1869770794688942e-08,0.6574050306211499,0.5281623920138631,0.6805674335577101,0
135,1.1869770794688942e-08,0.6767886897602817,0.5341411228970744,0.6842697497853568,0
140,1.1869770794688942e-08,0.6230085790546764,0.4958185282496068,0.6512021163948647,0
145,1.1869770794688942e-08,0.6596009918761447,0.5160312386629227,0.6699645052476888,0
150,1.1869770794688942e-08,0.6912535050097863,0.5554080634254589,0.7046050683014341,0
155,1.1869770794688942e-08,0.6513578504934278,0.5008408794983493,0.6562505550732523,0
160,1.1869770794688942e-08,0.6571459066705692,0.5138174892710247,0.665432053218311,0
165,1.1869770794688942e-08,0.6531802691848276,0.521290913600764,0.6741886415876734,0
170,1.1869770794688942e-08,0.6757805557136967,0.5408838245035039,0.6919456079801483,0
175,1.1869770794688942e-08,0.6754522669103312,0.5315962105463525,0.6816678966994825,0
180,1.1869770794688942e-08,0.7277888336449329,0.5857005823437149,0.7284513433087333,0
185,1.1869770794688942e-08,0.6744636105752835,0.5245604060400553,0.6745600621765149,0
190,1.1869770794688942e-08,0.6263182298675166,0.4917485649863058,0.6457686520570765,0
195,1.1869770794688942e-08,0.6772196392682723,0.5384461510033497,0.6891279690098167,0
200,1.1869770794688942e-08,0.7304557272084538,0.592096232570163,0.731259537884793,0
205,1.1869770794688942e-08,0.6445302666626002,0.4954620409289936,0.6483872949288186,0
210,1.1869770794688942e-08,0.6679109542826346,0.5330261611753097,0.6831902189157533,0
215,1.1869770794688942e-08,0.6692376008785844,0.5166822015353513,0.6693878659353855,0
220,1.1869770794688942e-08,0.6556149826520643,0.532224978010804,0.6841377586481946,0
225,1.1869770794688942e-08,0.6791429462147605,0.5452906851214269,0.693767719990935,0
230,1.1869770794688942e-08,0.6713299144178386,0.5345814759950164,0.6860644207666405,0
235,1.1869770794688942e-08,0.6924733612512679,0.5521918761483788,0.6994424906607168,0
240,1.1869770794688942e-08,0.6198873430383146,0.4827827103515182,0.6398872587298249,0
245,1.1869770794688942e-08,0.7001583488629789,0.5552835181639092,0.7018969758623176,0
250,1.1869770794688942e-08,0.6339487156597088,0.5126455856773413,0.6685381097388593,0
255,1.1869770794688942e-08,0.6919369383462295,0.5513108834361105,0.7009931778354078,0
260,1.1869770794688942e-08,0.6201396126445132,0.4767939845061831,0.6333730778889339,0
265,1.1869770794688942e-08,0.6667681165536152,0.5352544209045756,0.6840294578092693,0
270,1.1869770794688942e-08,0.6380796621471746,0.49643323940887824,0.6509837749219849,0
275,1.1869770794688942e-08,0.6242875252149565,0.4853218486640398,0.6393169172979523,0
280,1.1869770794688942e-08,0.6731323348060538,0.5376229452866313,0.6876730349620706,0
285,1.1869770794688942e-08,0.6278983539084353,0.5045141816739906,0.6601693753329223,0
290,1.1869770794688942e-08,0.5892842481567674,0.46977838118667264,0.6295522226520139,0
295,1.1869770794688942e-08,0.6503498458565978,0.5131737108027045,0.6664906223116686,0
300,1.1869770794688942e-08,0.6268627472825709,0.5053429175609458,0.6593651046974094,0
305,1.1869770794688942e-08,0.6985690515160621,0.5567010153868701,0.7036715151815474,0
310,1.1869770794688942e-08,0.6618236110657583,0.5225151145400448,0.6747343249635592,0
315,1.1869770794688942e-08,0.6609861001005968,0.5342949021183638,0.6863213059436405,0
320,1.1869770794688942e-08,0.648793451830308,0.5078912486712052,0.6630703950028521,0
325,1.1869770794688942e-08,0.6037746451286929,0.5250260578087654,0.6802363198445788,0
330,1.1869770794688942e-08,0.6423158168226389,0.4967385317169142,0.6533109422291139,0
335,1.1869770794688942e-08,0.6336620324703154,0.5014809641085294,0.6579722192749595,0
340,1.1869770794688942e-08,0.6105060500463447,0.49596424242159964,0.6531693764828724,0
345,1.1869770794688942e-08,0.6775954456067483,0.5499939984407657,0.7001040693750956,0
