iteration,best_adapta,JaccarI,JaccarP,SoresP,execution
5,4.37546813782363e-10,0.389261087543168,0.34933410497075745,0.5067365756547743,1
10,4.37546813782363e-10,0.6022915472893957,0.4614947458140039,0.6192606662981717,1
15,4.5220411073830316e-10,0.6272351602752122,0.4951770347997849,0.6517396137583349,1
20,1.1092792700997993e-09,0.5816209147619223,0.47343917994296436,0.630115590902881,1
25,1.1118958272038509e-09,0.6320913950170916,0.532499475257556,0.6831470302138444,1
30,8.905561270514406e-09,0.6027418117766343,0.5124562511600851,0.6679949034665471,1
35,1.0234456227740565e-08,0.5887022286661089,0.5383175946010811,0.690237076805231,1
40,1.0234456227740565e-08,0.7508015739181889,0.6182009572788061,0.7527805274271321,1
45,1.0234456227740565e-08,0.7428818548916589,0.6083794668042622,0.7445710011261043,1
50,1.0234456227740565e-08,0.7435584386564779,0.6035287194780068,0.7410193603779164,1
55,1.0234456227740565e-08,0.6916406344295921,0.5452796024889748,0.695235791318529,1
60,1.0234456227740565e-08,0.7407311189173934,0.6151534469802298,0.7514486202618216,1
65,1.0234456227740565e-08,0.721559912491285,0.5958461106481973,0.7354199064276628,1
70,1.1041454471081829e-08,0.6672448285193384,0.57819989617201,0.7204651927097752,1
75,1.1041454471081829e-08,0.6073752450323893,0.4588275131087125,0.6110713365768959,1
80,1.125788909439572e-08,0.737660215601392,0.5998575814163994,0.7366973615781737,1
85,1.1696646366955865e-08,0.7137413550597246,0.5668520116937834,0.708768718698392,1
90,1.1696646366955865e-08,0.7356504534910108,0.5963597543402663,0.7363979555034039,1
95,1.1696646366955865e-08,0.706717869811265,0.572950000667567,0.7153336490344158,1
100,1.1696646366955865e-08,0.6744411452744786,0.5263844911173882,0.6757884833705464,1
105,1.1696646366955865e-08,0.8196443630138159,0.7019736682213421,0.81408085026847,1
110,1.1696646366955865e-08,0.7046226496432896,0.5713709761739633,0.7160225132199088,1
115,1.1696646366955865e-08,0.7350456374837179,0.6017482512609543,0.7411471719366688,1
120,1.1696646366955865e-08,0.7172426553876504,0.5783151025574955,0.7214417881968374,1
125,1.1696646366955865e-08,0.6958750695850799,0.5617644010141475,0.7106283766489866,1
130,1.1696646366955865e-08,0.6583631594279873,0.5230089785455329,0.6751796686419396,1
135,1.1696646366955865e-08,0.695793870488964,0.5652802328137028,0.7123497588690109,1
140,1.1696646366955865e-08,0.7111535487286027,0.5647789892997814,0.709468404504548,1
145,1.1696646366955865e-08,0.8086784402960873,0.6961295756574025,0.8116540285334909,1
150,1.1696646366955865e-08,0.7028278881994052,0.5473838242819994,0.6943548070847653,1
155,1.1696646366955865e-08,0.6898023572852355,0.5435896634755509,0.6883881099601409,1
160,1.1696646366955865e-08,0.7125300405744163,0.5911868091980376,0.7319654226622777,1
165,1.1696646366955865e-08,0.7266702328363834,0.594148793270748,0.7332189536517072,1
170,1.1696646366955865e-08,0.6762400983376217,0.5320638169152565,0.6827911472424025,1
175,1.1696646366955865e-08,0.7007618499491565,0.557237113234854,0.7044547582908379,1
180,1.1696646366955865e-08,0.6585483449776535,0.5141775368748169,0.6686205688635468,1
185,1.1696646366955865e-08,0.7031581135296304,0.5639007884704421,0.7079257542882201,1
190,1.1696646366955865e-08,0.7819629330078246,0.6517164623371753,0.7785383213037429,1
195,1.1696646366955865e-08,0.7332630074890136,0.6014794184094164,0.7401948506121951,1
200,1.1696646366955865e-08,0.6750802984448668,0.5502016851296065,0.6983282806664539,1
205,1.1696646366955865e-08,0.7622464141942987,0.635867947413646,0.7679682563680308,1
210,1.1696646366955865e-08,0.7919326955962662,0.6658587507888282,0.786796848953995,1
215,1.1696646366955865e-08,0.700438863907529,0.5609531798100054,0.7075726661468449,1
220,1.1696646366955865e-08,0.6806587953001783,0.5530208227965172,0.7014489089230977,1
225,1.1696646366955865e-08,0.7280107424586268,0.6080417805092193,0.7479041449168375,1
230,1.1696646366955865e-08,0.7763699373477496,0.64648406284066,0.7749246845238138,1
235,1.1696646366955865e-08,0.6995109575475932,0.562672464295064,0.7096389423746678,1
240,1.1696646366955865e-08,0.7091896808615075,0.5888817925139634,0.732032601330093,1
245,1.1696646366955865e-08,0.7368517534623338,0.6273768491064228,0.763291285321064,1
250,1.1696646366955865e-08,0.7549602406155554,0.6317872545816426,0.7657619703002111,1
255,1.1696646366955865e-08,0.7097277464537526,0.5777754952447913,0.7239489729419508,1
260,1.1696646366955865e-08,0.7380493145199029,0.6058138190980992,0.7451239170626932,1
265,1.1696646366955865e-08,0.6992986068321466,0.548796097029203,0.6959254337854021,1
270,1.1696646366955865e-08,0.7246157103226247,0.5876698412844541,0.7296918587167961,1
275,1.1696646366955865e-08,0.7046693836683517,0.5659077916317068,0.7094277843403158,1
280,1.1696646366955865e-08,0.701878540849129,0.5984679845502061,0.7413136236417239,1
285,1.1696646366955865e-08,0.7515170926806634,0.6298993985042037,0.7641585357947751,1
290,1.1696646366955865e-08,0.6932626894185202,0.5504759825940567,0.6974429160570842,1
295,1.1696646366955865e-08,0.7048834240139709,0.5600635936528566,0.704521785502522,1
300,1.1696646366955865e-08,0.7954811848129701,0.6703597976496406,0.790960737426108,1
305,1.1696646366955865e-08,0.7720946226880179,0.6430273945634964,0.7723146917617755,1
