iteration,best_adapta,JaccarI,JaccarP,SoresP,execution
5,2.6373752221449565e-10,0.3686401492155006,0.35489134851146054,0.5111905485449663,0
10,5.689121266921732e-10,0.5940719235775977,0.5191811334030907,0.673515855798091,0
15,5.840808744487086e-10,0.6727387002231723,0.5682147248816241,0.7170092716884371,0
20,5.867231312079276e-10,0.5219106678281011,0.6484356837677745,0.777251764380707,0
25,5.877207414387518e-10,0.7621639126918631,0.6496087888470644,0.7817316238164276,0
30,5.891460837705216e-10,0.8422510039502056,0.7439290973524846,0.8463762054451095,0
35,5.891460837705216e-10,0.7701444281834701,0.6471338502873177,0.778672491208592,0
40,5.891460837705216e-10,0.8247596960862268,0.7068723822725295,0.8207629398465577,0
45,5.891460837705216e-10,0.7682619835059942,0.633436738087965,0.7652172558637755,0
50,5.891460837705216e-10,0.7998786188670839,0.6700144563857421,0.7929277622874316,0
55,5.891460837705216e-10,0.810663428556064,0.6974499902314409,0.8144181968649118,0
60,5.891460837705216e-10,0.7847991257485489,0.6492740419321466,0.7741614899437314,0
65,5.891460837705216e-10,0.7695299554039573,0.6471483429619044,0.7765608575226673,0
70,5.891460837705216e-10,0.7790738521395132,0.6581686204491886,0.787525937019273,0
75,5.891460837705216e-10,0.8346010688512908,0.7265482609200725,0.8361534639225355,0
80,5.891460837705216e-10,0.7874554327659917,0.6582033685166825,0.7860529617812791,0
85,5.891460837705216e-10,0.7715692736722018,0.6360490140557481,0.7710778417125651,0
90,5.891460837705216e-10,0.8116817329372785,0.7003425574520611,0.8157732765811967,0
95,5.891460837705216e-10,0.7847578331163069,0.653419538927449,0.7821311674014244,0
100,5.913610822623255e-10,0.6211546521785629,0.6618373923587945,0.7885695081977618,0
105,5.913610822623255e-10,0.7752388915432392,0.6737572090442444,0.7988444857982762,0
110,3.4542948999024196e-09,0.5774498362749659,0.6296900125487185,0.7660890841550791,0
115,5.4436454865826475e-09,0.751562096700152,0.6437328789223193,0.7761069736821382,0
120,1.1418084821640781e-08,0.7049858414543764,0.6335291673509197,0.7666571196128877,0
125,1.1418084821640781e-08,0.7475903895392744,0.6299289077494152,0.7636310341011978,0
130,1.1418084821640781e-08,0.8144192263371516,0.7000399441855422,0.8161501032404019,0
135,1.1418084821640781e-08,0.7725053931346976,0.6368340592605368,0.7658794733073809,0
140,1.1418084821640781e-08,0.8419708234170863,0.7406876750329808,0.8437775449442398,0
145,1.1418084821640781e-08,0.7751421621280091,0.6531891585227294,0.777719093977818,0
150,1.1418084821640781e-08,0.8301036203955267,0.7125803875504999,0.8226141747324164,0
155,1.1418084821640781e-08,0.8107393584000016,0.7008304561106893,0.8152979631602092,0
160,1.1418084821640781e-08,0.8222037311165067,0.7102163513221217,0.8208979848988756,0
165,1.1418084821640781e-08,0.8213675821205675,0.7199892029166467,0.829635982717622,0
170,1.1418084821640781e-08,0.7803230063955406,0.6661370671794307,0.7922813470162372,0
175,1.1418084821640781e-08,0.8228766067830642,0.7134799824235891,0.8256771482440338,0
180,1.1418084821640781e-08,0.7450669661804115,0.6342906838843414,0.7680739046440759,0
185,1.1418084821640781e-08,0.7873628774818198,0.6720868397580048,0.7961578011160054,0
190,1.1418084821640781e-08,0.778123793377,0.6507801042391238,0.7785561446348704,0
195,1.1418084821640781e-08,0.7449727259324783,0.6228782894972196,0.75798848679893,0
200,1.1418084821640781e-08,0.7633605447191408,0.6503457895323898,0.7793948482973474,0
205,1.1418084821640781e-08,0.8295563839570916,0.7223802188829963,0.831771231175842,0
210,1.1418084821640781e-08,0.7702752905673548,0.6627358463549456,0.7878601942590799,0
215,1.1418084821640781e-08,0.7891089894604458,0.6735273541934813,0.7975134344067492,0
220,1.1418084821640781e-08,0.8366135928055433,0.7333215156806784,0.8367668435890109,0
225,1.1418084821640781e-08,0.8053524918739426,0.683591701738445,0.8019203098229378,0
230,1.1418084821640781e-08,0.7254475850490573,0.588011050220054,0.728779020989407,0
235,1.1418084821640781e-08,0.7873031668807874,0.6610719052232328,0.7841107691439845,0
240,1.1418084821640781e-08,0.7714387349836267,0.6618919767241036,0.7901847908670571,0
245,1.1418084821640781e-08,0.8091720898885871,0.7016728994487887,0.8144477008030911,0
250,1.1418084821640781e-08,0.7869307372071636,0.6670962037683948,0.7908144248287055,0
255,1.1418084821640781e-08,0.8400568121985634,0.7400777495328671,0.8416724500462606,0
260,1.1418084821640781e-08,0.8251829679240117,0.7109587539767293,0.8233447705789599,0
265,1.1418084821640781e-08,0.8055825839107573,0.6940932560290668,0.812173602567825,0
270,1.1418084821640781e-08,0.7931098755291591,0.6722222397255301,0.7955298077387667,0
275,1.1418084821640781e-08,0.7858708395638958,0.6700346913915637,0.7938746810761763,0
280,1.1418084821640781e-08,0.7631979107432447,0.6393401559840427,0.7692052881366566,0
285,1.1418084821640781e-08,0.7849730242974382,0.6710957048852192,0.7939766543729179,0
